mass_A
t	x	y
3.386716667E0	9.606346337E2	3.100289129E2
3.403400000E0	9.606332625E2	3.100371788E2
3.420083333E0	9.605567072E2	3.100761573E2
3.436766667E0	9.603555519E2	3.100154419E2
3.453450000E0	9.602476645E2	3.100455443E2
3.470133333E0	9.604747160E2	3.100320625E2
3.486816667E0	9.602845042E2	3.100076852E2
3.503500000E0	9.605191360E2	3.100625656E2
3.520183333E0	9.609807049E2	3.100562520E2
3.536866667E0	9.610126804E2	3.100544851E2
3.553550000E0	9.614417544E2	3.099673028E2
3.570233333E0	9.619727103E2	3.100327679E2
3.586916667E0	9.627200172E2	3.100406965E2
3.603600000E0	9.629677806E2	3.100612680E2
3.620283333E0	9.633670651E2	3.100519733E2
3.636966667E0	9.637988990E2	3.100357727E2
3.653650000E0	9.645145748E2	3.100523753E2
3.670333333E0	9.649021366E2	3.100892855E2
3.687016667E0	9.649799726E2	3.100426462E2
3.703700000E0	9.650172399E2	3.100927478E2
3.720383333E0	9.654920193E2	3.100296933E2
3.737066667E0	9.669849900E2	3.099983666E2
3.753750000E0	9.689067913E2	3.099821547E2
3.770433333E0	9.718516765E2	3.099836804E2
3.787116667E0	9.754997500E2	3.099414789E2
3.803800000E0	9.800931906E2	3.099423272E2
3.820483333E0	9.849142246E2	3.100561644E2
3.837166667E0	9.902902592E2	3.101040659E2
3.853850000E0	9.959352602E2	3.101206516E2
3.870533333E0	1.001494341E3	3.100827352E2
3.887216667E0	1.007133349E3	3.101466550E2
3.903900000E0	1.012788202E3	3.102867325E2
3.920583333E0	1.019913016E3	3.111807327E2
3.937266667E0	1.027689612E3	3.118420314E2
3.953950000E0	1.034763570E3	3.120238997E2
3.970633333E0	1.042271761E3	3.122684980E2
3.987316667E0	1.051706826E3	3.139943134E2
4.004000000E0	1.060975399E3	3.150887293E2
4.020683333E0	1.069554057E3	3.163127584E2
4.037366667E0	1.079635255E3	3.180863190E2
4.054050000E0	1.089823035E3	3.200351334E2
4.070733333E0	1.100374495E3	3.219652444E2
4.087416667E0	1.111605353E3	3.241654478E2
4.104100000E0	1.125483969E3	3.276799110E2
4.120783333E0	1.135997284E3	3.300782087E2
4.137466667E0	1.149397951E3	3.336136941E2
4.154150000E0	1.159073117E3	3.361031182E2
4.170833333E0	1.170794070E3	3.399673661E2
4.187516667E0	1.180117275E3	3.421401407E2
4.204200000E0	1.190689361E3	3.460174802E2
4.220883333E0	1.201056328E3	3.498605384E2
4.237566667E0	1.209706599E3	3.522511958E2
4.254250000E0	1.219777771E3	3.560782072E2
4.270933333E0	1.229363283E3	3.599348080E2
4.287616667E0	1.238952585E3	3.639682371E2
4.304300000E0	1.248146427E3	3.678883832E2
4.320983333E0	1.256243769E3	3.718988886E2
4.337666667E0	1.264806516E3	3.760177626E2
4.354350000E0	1.272694169E3	3.800557888E2
4.371033333E0	1.280301788E3	3.838400244E2
4.387716667E0	1.287759932E3	3.880950338E2
4.404400000E0	1.295627711E3	3.921828826E2
4.421083333E0	1.303104991E3	3.961021364E2
4.437766667E0	1.310004178E3	4.001935221E2
4.454450000E0	1.318675907E3	4.059885130E2
4.471133333E0	1.325774602E3	4.100881316E2
4.487816667E0	1.332349293E3	4.139746052E2
4.504500000E0	1.339789645E3	4.194989682E2
4.521183333E0	1.347167201E3	4.239372051E2
4.537866667E0	1.354215494E3	4.285489623E2
4.554550000E0	1.361384678E3	4.338894697E2
